Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Uduminelite,Ca_3_Al_8_(PO_4_)_2_O_12_·2H_2_O,Ca Al P O H,Ca Al P O H,Ca Al P O H,Ca Al P O H,valid,,,
Uedaite-(Ce),Mn^2+^Ce^3+^Al_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Mn^2+ Ce^3+ Al Fe^2+ Si O H,Mn^2+ Ce^3+ Al Fe^2+ Si O H,Mn Ce Al Fe Si O H,Mn^2+ Ce^3+ Al Fe^2+ Si O H,valid,,,
Uklonskovite,NaMg(S^6+^O_4_)F·2H_2_O,Na Mg S^6+ O F H,Na Mg S^6+ O F H,Na Mg S O F H,Na Mg S^6+ O F H,valid,,,
Ulexite,NaCaB_5_O_6_(OH)_6_·5H_2_O,Na Ca B O H,Na Ca B O H,Na Ca B O H,Na Ca B O H,valid,,,
Ulfanderssonite-(Ce),"(Ce^3+^_15_Ca)Mg_2_(SiO_4_)_10_(SiO_3_OH)(OH,F)_5_Cl_3_",Ce^3+ Ca Mg Si O H F Cl,Ce^3+ Ca Mg Si O H F Cl,Ce Ca Mg Si O H F Cl,Ce^3+ Ca Mg Si O H F Cl,valid,,,
Ullmannite,Ni^3+^(SbS)^3-^,Ni^3+ Sb S,Ni^3+ Sb S,Ni Sb S,Ni^3+ Sb S,valid,,,
Ulrichite,CaCu^2+^(U^6+^O_2_)(PO_4_)_2_·4H_2_O,Ca Cu^2+ U^6+ O P H,Ca Cu^2+ U^6+ O P H,Ca Cu U O P H,Ca Cu^2+ U^6+ O P H,valid,,,
Ulvöspinel,Fe^2+^_2_Ti^4+^O_4_,Fe^2+ Ti^4+ O,Fe^2+ Ti^4+ O,Fe Ti O,Fe^2+ Ti^4+ O,valid,,,
Umangite,Cu_3_Se_2_,Cu Se,Cu Se,Cu Se,Cu Se,valid,,,
Umbite,K_2_Zr^4+^Si_3_O_9_·H_2_O,K Zr^4+ Si O H,K Zr^4+ Si O H,K Zr Si O H,K Zr^4+ Si O H,valid,,,
Umbozerite,Na_3_Sr_4_Th^4+^Si_8_O_23_(OH),Na Sr Th^4+ Si O H,Na Sr Th^4+ Si O H,Na Sr Th Si O H,Na Sr Th^4+ Si O H,valid,,,
Umbrianite,K_7_Na_2_Ca_2_[Al_3_Si_10_O_29_]F_2_Cl_2_,K Na Ca Al Si O F Cl,K Na Ca Al Si O F Cl,K Na Ca Al Si O F Cl,K Na Ca Al Si O F Cl,valid,,,
Umohoite,(U^6+^O_2_)Mo^6+^O_4_·2H_2_O,U^6+ O Mo^6+ H,U^6+ O Mo^6+ H,U O Mo H,U^6+ O Mo^6+ H,valid,,,
Ungavaite,Pd_4_Sb_3_,Pd Sb,Pd Sb,Pd Sb,Pd Sb,valid,,,
Ungemachite,K_3_Na_8_Fe^3+^(S^6+^O_4_)_6_(N^5+^O_3_)_2_·6H_2_O,K Na Fe^3+ S^6+ O N^5+ H,K Na Fe^3+ S^6+ O N^5+ H,K Na Fe S O N H,K Na Fe^3+ S^6+ O N^5+ H,valid,,,
Upalite,Al(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·7H_2_O,Al U^6+ O P H,Al U^6+ O P H,Al U O P H,Al U^6+ O P H,valid,,,
Uralborite,CaB_2_O_2_(OH)_4_,Ca B O H,Ca B O H,Ca B O H,Ca B O H,valid,,,
Uralolite,Ca_2_Be_4_(PO_4_)_3_(OH)_3_·5H_2_O,Ca Be P O H,Ca Be P O H,Ca Be P O H,Ca Be P O H,valid,,,
Uramarsite,N^3-^H_4_(U^6+^O_2_)As^5+^O_4_·3H_2_O,N^3- H U^6+ O As^5+,N^3- H U^6+ O As^5+,N H U O As,N^3- H U^6+ O As^5+,valid,,,
Uramphite,N^3-^H_4_(U^6+^O_2_)PO_4_·3H_2_O,N^3- H U^6+ O P,N^3- H U^6+ O P,N H U O P,N^3- H U^6+ O P,valid,,,
Urancalcarite,Ca(U^6+^O_2_)_3_CO_3_(OH)_6_·3H_2_O,Ca U^6+ O C H,Ca U^6+ O C H,Ca U O C H,Ca U^6+ O C H,valid,,,
Uraninite,U^4+^O_2_,U^4+ O,U^4+ O,U O,U^4+ O,valid,,,
Uranocircite,Ba(U^6+^O_2_)_2_(PO_4_)_2_·10H_2_O,Ba U^6+ O P H,Ba U^6+ O P H,Ba U O P H,Ba U^6+ O P H,valid,,,
Uranoclite,(U^6+^O_2_)_2_(OH)_2_Cl_2_(H_2_O)_4_,U^6+ O H Cl,U^6+ O H Cl,U O H Cl,U^6+ O H Cl,valid,,,
Uranophane,Ca(U^6+^O_2_)_2_(SiO_3_OH)_2_·5H_2_O,Ca U^6+ O Si H,Ca U^6+ O Si H,Ca U O Si H,Ca U^6+ O Si H,valid,,,
Uranopilite,(U^6+^O_2_)_6_S^6+^O_4_O_2_(OH)_6_·14H_2_O,U^6+ O S^6+ H,U^6+ O S^6+ H,U O S H,U^6+ O S^6+ H,valid,,,
Uranopolycrase,U^4+^Ti^4+^_2_O_6_,U^4+ Ti^4+ O,U^4+ Ti^4+ O,U Ti O,U^4+ Ti^4+ O,valid,,,
Uranosilite,(U^6+^O_2_)Si_7_O_15_,U^6+ O Si,U^6+ O Si,U O Si,U^6+ O Si,valid,,,
Uranospathite,"(Al,[box])(U^6+^O_2_)_2_F(PO_4_)_2_·20(H_2_O,F)",Al U^6+ O F P H,Al U^6+ O F P H,Al U O F P H,Al U^6+ O F P H,valid,,,
Uranosphaerite,Bi^3+^(U^6+^O_2_)O_2_(OH),Bi^3+ U^6+ O H,Bi^3+ U^6+ O H,Bi U O H,Bi^3+ U^6+ O H,valid,,,
Uranospinite,Ca(U^6+^O_2_)_2_(As^5+^O_4_)_2_·10H_2_O,Ca U^6+ O As^5+ H,Ca U^6+ O As^5+ H,Ca U O As H,Ca U^6+ O As^5+ H,valid,,,
Uranotungstite,Ba(U^6+^O_2_)_2_W^6+^_2_O_8_(OH)_2_·H_2_O,Ba U^6+ O W^6+ H,Ba U^6+ O W^6+ H,Ba U O W H,Ba U^6+ O W^6+ H,valid,,,
Urea,CO(N^3-^H_2_)_2_,C O N^3- H,C O N^3- H,C O N H,C O N^3- H,valid,,,
Uricite,C_5_H_4_N_4_O_3_,C H N O,C H N O,C H N O,C H N O,valid,,,
Uroxite,[(U^6+^O_2_)_2_((C_2_)^6+^O_4_)(OH)_2_(H_2_O)_2_]·H_2_O,U^6+ O C H,U^6+ O C H,U O C H,U^6+ O C H,valid,,,
Urusovite,Cu^2+^AlO(As^5+^O_4_),Cu^2+ Al O As^5+,Cu^2+ Al O As^5+,Cu Al O As,Cu^2+ Al O As^5+,valid,,,
Urvantsevite,"Pd(Bi,Pb)_2_",Pd Bi Pb,Pd Bi Pb,Pd Bi Pb,Pd Bi Pb,valid,,,
Ushkovite,MgFe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O,Mg Fe^3+ P O H,Mg Fe^3+ P O H,Mg Fe P O H,Mg Fe^3+ P O H,valid,,,
Usovite,Ba_2_CaMgAl_2_F_14_,Ba Ca Mg Al F,Ba Ca Mg Al F,Ba Ca Mg Al F,Ba Ca Mg Al F,valid,,,
Ussingite,Na_2_AlSi_3_O_8_(OH),Na Al Si O H,Na Al Si O H,Na Al Si O H,Na Al Si O H,valid,,,
Ustarasite,"Pb^2+^(Bi^3+^,Sb^3+^)_6_S^2-^_10_",Pb^2+ Bi^3+ Sb^3+ S^2-,Pb^2+ Bi^3+ Sb^3+ S^2-,Pb Bi Sb S,Pb^2+ Bi^3+ Sb^3+ S^2-,valid,,,
Usturite,Ca_3_Zr^4+^Sb^5+^Fe^3+^_3_O_12_,Ca Zr^4+ Sb^5+ Fe^3+ O,Ca Zr^4+ Sb^5+ Fe^3+ O,Ca Zr Sb Fe O,Ca Zr^4+ Sb^5+ Fe^3+ O,valid,,,
Utahite,MgCu^2+^_4_Zn^2+^_2_Te^6+^_3_O_14_(OH)_4_·6H_2_O,Mg Cu^2+ Zn^2+ Te^6+ O H,Mg Cu^2+ Zn^2+ Te^6+ O H,Mg Cu Zn Te O H,Mg Cu^2+ Zn^2+ Te^6+ O H,valid,,,
Uvanite,U^6+^_2_V^5+^_6_O_21_·15H_2_O,U^6+ V^5+ O H,U^6+ V^5+ O H,U V O H,U^6+ V^5+ O H,valid,,,
Uvarovite,Ca_3_Cr^3+^_2_(SiO_4_)_3_,Ca Cr^3+ Si O,Ca Cr^3+ Si O,Ca Cr Si O,Ca Cr^3+ Si O,valid,,,
Uvite,CaMg_3_(Al_5_Mg)(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH,Ca Mg Al Si O B H,Ca Mg Al Si O B H,Ca Mg Al Si O B H,Ca Mg Al Si O B H,valid,,,
Uytenbogaardtite,Ag_3_AuS_2_,Ag Au S,Ag Au S,Ag Au S,Ag Au S,valid,,,
Uzonite,As_4_S_5_,As S,As S,As S,As S,valid,,,
Vadlazarenkovite,Pd_8_Bi_1.5_Te_1.25_As_0.25_,Pd Bi Te As,Pd Bi Te As,Pd Bi Te As,Pd Bi Te As,valid,,,
Vaesite,Ni^2+^(S_2_)^2-^,Ni^2+ S,Ni^2+ S,Ni S,Ni^2+ S,valid,,,
Vajdakite,(Mo^6+^O_2_)_2_As^3+^_2_O_5_·3H_2_O,Mo^6+ O As^3+ H,Mo^6+ O As^3+ H,Mo O As H,Mo^6+ O As^3+ H,valid,,,
Vakhrushevaite,Mg_5_Cr^3+^(AlSi_3_O_10_)(OH)_8_,Mg Cr^3+ Al Si O H,Mg Cr^3+ Al Si O H,Mg Cr Al Si O H,Mg Cr^3+ Al Si O H,valid,,,
Valentinite,Sb^3+^_2_O_3_,Sb^3+ O,Sb^3+ O,Sb O,Sb^3+ O,valid,,,
Valleriite,"2[(Fe^3+^,Cu^1+^)S^2-^]·1.53[(Mg,Al)(OH)_2_]",Fe^3+ Cu^1+ S^2- Mg Al O H,Fe^3+ Cu^1+ S^2- Mg Al O H,Fe Cu S Mg Al O H,Fe^3+ Cu^1+ S^2- Mg Al O H,valid,,,
Valleyite,Ca_4_Fe^3+^_6_O_13_,Ca Fe^3+ O,Ca Fe^3+ O,Ca Fe O,Ca Fe^3+ O,valid,,,
Vallouiseite,Ag^1+^_3_Tl^1+^_21.5_Pb^2+^Sb^3+^_63_As^3+^_41.5_S^2-^_170_,Ag^1+ Tl^1+ Pb^2+ Sb^3+ As^3+ S^2-,Ag^1+ Tl^1+ Pb^2+ Sb^3+ As^3+ S^2-,Ag Tl Pb Sb As S,Ag^1+ Tl^1+ Pb^2+ Sb^3+ As^3+ S^2-,valid,,,
Vanackerite,Pb^2+^_4_Cd^2+^(As^5+^O_4_)_3_Cl,Pb^2+ Cd^2+ As^5+ O Cl,Pb^2+ Cd^2+ As^5+ O Cl,Pb Cd As O Cl,Pb^2+ Cd^2+ As^5+ O Cl,valid,,,
Vanadinite,Pb^2+^_5_(V^5+^O_4_)_3_Cl,Pb^2+ V^5+ O Cl,Pb^2+ V^5+ O Cl,Pb V O Cl,Pb^2+ V^5+ O Cl,valid,,,
Vanadiocarpholite,Mn^2+^V^3+^AlSi_2_O_6_(OH)_4_,Mn^2+ V^3+ Al Si O H,Mn^2+ V^3+ Al Si O H,Mn V Al Si O H,Mn^2+ V^3+ Al Si O H,valid,,,
Vanadio-oxy-chromium-dravite,NaV^3+^_3_(Cr^3+^_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,Na V^3+ Cr^3+ Mg Si O B H,Na V^3+ Cr^3+ Mg Si O B H,Na V Cr Mg Si O B H,Na V^3+ Cr^3+ Mg Si O B H,valid,,,
Vanadio-oxy-dravite,NaV^3+^_3_(Al_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,Na V^3+ Al Mg Si O B H,Na V^3+ Al Mg Si O B H,Na V Al Mg Si O B H,Na V^3+ Al Mg Si O B H,valid,,,
Vanadio-pargasite,NaCa_2_(Mg_4_V^3+^)[Si_6_Al_2_]O_22_(OH)_2_,Na Ca Mg V^3+ Si Al O H,Na Ca Mg V^3+ Si Al O H,Na Ca Mg V Si Al O H,Na Ca Mg V^3+ Si Al O H,valid,,,
Vanadium,V,V,V,V,V,valid,,,
Vanadoakasakaite-(Ce),CaCe^3+^(V^3+^AlMn^2+^)(Si_2_O_7_)(SiO_4_)O(OH),Ca Ce^3+ V^3+ Al Mn^2+ Si O H,Ca Ce^3+ V^3+ Al Mn^2+ Si O H,Ca Ce V Al Mn Si O H,Ca Ce^3+ V^3+ Al Mn^2+ Si O H,valid,,,
Vanadoakasakaite-(La),CaLa(V^3+^AlMn^2+^)(Si_2_O_7_)(SiO_4_)O(OH),Ca La V^3+ Al Mn^2+ Si O H,Ca La V^3+ Al Mn^2+ Si O H,Ca La V Al Mn Si O H,Ca La V^3+ Al Mn^2+ Si O H,valid,,,
Vanadoallanite-(La),CaLa^3+^V^3+^AlFe^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca La^3+ V^3+ Al Fe^2+ Si O H,Ca La^3+ V^3+ Al Fe^2+ Si O H,Ca La V Al Fe Si O H,Ca La^3+ V^3+ Al Fe^2+ Si O H,valid,,,
Vanadoandrosite-(Ce),Mn^2+^Ce^3+^V^3+^AlMn^2+^O(Si_2_O_7_)(SiO_4_)(OH),Mn^2+ Ce^3+ V^3+ Al O Si H,Mn^2+ Ce^3+ V^3+ Al O Si H,Mn Ce V Al O Si H,Mn^2+ Ce^3+ V^3+ Al O Si H,valid,,,
Vanadomalayaite,CaV^4+^OSiO_4_,Ca V^4+ O Si,Ca V^4+ O Si,Ca V O Si,Ca V^4+ O Si,valid,,,
Vanalite,NaAl_8_V^5+^_10_O_38_·30H_2_O,Na Al V^5+ O H,Na Al V^5+ O H,Na Al V O H,Na Al V^5+ O H,valid,,,
Vanarsite,NaCa_12_(As^3+^V^5+^_8.5_V^4+^_3.5_As^5+^_6_O_51_)_2_·78H_2_O,Na Ca As^3+ V^5+ V^4+ As^5+ O H,Na Ca As^3+ V^5+ V^4+ As^5+ O H,Na Ca As V O H,Na Ca As^3+ V^5+ V^4+ As^5+ O H,valid,,,
Vandenbrandeite,Cu^2+^U^6+^O_2_(OH)_4_,Cu^2+ U^6+ O H,Cu^2+ U^6+ O H,Cu U O H,Cu^2+ U^6+ O H,valid,,,
Vandendriesscheite,Pb^2+^_1.6_(U^6+^O_2_)_10_O_6_(OH)_11_·11H_2_O,Pb^2+ U^6+ O H,Pb^2+ U^6+ O H,Pb U O H,Pb^2+ U^6+ O H,valid,,,
Vanderheydenite,Zn^2+^_6_(PO_4_)_2_(S^6+^O_4_)(OH)_4_·7H_2_O,Zn^2+ P O S^6+ H,Zn^2+ P O S^6+ H,Zn P O S H,Zn^2+ P O S^6+ H,valid,,,
Vandermeerscheite,K_2_[(U^6+^O_2_)_2_V^5+^_2_O_8_]·2H_2_O,K U^6+ O V^5+ H,K U^6+ O V^5+ H,K U O V H,K U^6+ O V^5+ H,valid,,,
Vaniniite,Ca_2_Mn^2+^_3_Mn^3+^_2_O_2_(As^5+^O_4_)_4_·2H_2_O,Ca Mn^2+ Mn^3+ O As^5+ H,Ca Mn^2+ Mn^3+ O As^5+ H,Ca Mn O As H,Ca Mn^2+ Mn^3+ O As^5+ H,valid,,,
Vanmeersscheite,U^6+^(U^6+^O_2_)_3_(PO_4_)_2_(OH)_6_·4H_2_O,U^6+ O P H,U^6+ O P H,U O P H,U^6+ O P H,valid,,,
Vanoxite,V^4+^_4_V^5+^_2_O_13_·8H_2_O,V^4+ V^5+ O H,V^4+ V^5+ O H,V O H,V^4+ V^5+ O H,valid,,,
Vanpeltite,(Mo^6+^_2_O_5_)(S^4+^O_3_)·4H_2_O,Mo^6+ O S^4+ H,Mo^6+ O S^4+ H,Mo O S H,Mo^6+ O S^4+ H,valid,,,
Vantasselite,Al_4_(PO_4_)_3_(OH)_3_·9H_2_O,Al P O H,Al P O H,Al P O H,Al P O H,valid,,,
Vanthoffite,Na_6_Mg(S^6+^O_4_)_4_,Na Mg S^6+ O,Na Mg S^6+ O,Na Mg S O,Na Mg S^6+ O,valid,,,
Vanuralite,Al(U^6+^O_2_)_2_(V^5+^O_4_)_2_(OH)·8.5H_2_O,Al U^6+ O V^5+ H,Al U^6+ O V^5+ H,Al U O V H,Al U^6+ O V^5+ H,valid,,,
Vapnikite,Ca_3_U^6+^O_6_,Ca U^6+ O,Ca U^6+ O,Ca U O,Ca U^6+ O,valid,,,
Varennesite,"Na_8_Mn^2+^_2_Si_10_O_25_(OH,Cl)_2_·12H_2_O",Na Mn^2+ Si O H Cl,Na Mn^2+ Si O H Cl,Na Mn Si O H Cl,Na Mn^2+ Si O H Cl,valid,,,
Vargite,Mn^2+^Cu^2+^_2_Mn^2+^_2_(As^5+^O_4_)_2_(OH)_4_(H_2_O)_4_,Mn^2+ Cu^2+ As^5+ O H,Mn^2+ Cu^2+ As^5+ O H,Mn Cu As O H,Mn^2+ Cu^2+ As^5+ O H,valid,,,
Variscite,AlPO_4_·2H_2_O,Al P O H,Al P O H,Al P O H,Al P O H,valid,,,
Varlamoffite,"(Sn^4+^,Fe^3+^)(O,OH)_2_",Sn^4+ Fe^3+ O H,Sn^4+ Fe^3+ O H,Sn Fe O H,Sn^4+ Fe^3+ O H,valid,,,
Varulite,Na_2_Mn^2+^(Mn^2+^Fe^3+^)(PO_4_)_3_,Na Mn^2+ Fe^3+ P O,Na Mn^2+ Fe^3+ P O,Na Mn Fe P O,Na Mn^2+ Fe^3+ P O,valid,,,
Vashegyite,Al_11_(PO_4_)_9_(OH)_6_·38H_2_O,Al P O H,Al P O H,Al P O H,Al P O H,valid,,,
Vasilite,"(Pd,Cu)_16_(S,Te)_7_",Pd Cu S Te,Pd Cu S Te,Pd Cu S Te,Pd Cu S Te,valid,,,
Vasilseverginite,Cu^2+^_9_O_4_(As^5+^O_4_)_2_(S^6+^O_4_)_2_,Cu^2+ O As^5+ S^6+,Cu^2+ O As^5+ S^6+,Cu O As S,Cu^2+ O As^5+ S^6+,valid,,,
Vasilyevite,(Hg_2_)^2+^_10_O_6_I^1-^_3_Br_2_Cl(CO_3_),Hg O I^1- Br Cl C,Hg O I^1- Br Cl C,Hg O I Br Cl C,Hg O I^1- Br Cl C,valid,,,
Västmanlandite-(Ce),Ce^3+^_3_CaMg_2_Al_2_Si_5_O_19_(OH)_2_F,Ce^3+ Ca Mg Al Si O H F,Ce^3+ Ca Mg Al Si O H F,Ce Ca Mg Al Si O H F,Ce^3+ Ca Mg Al Si O H F,valid,,,
Vaterite,CaCO_3_,Ca C O,Ca C O,Ca C O,Ca C O,valid,,,
Vaughanite,Tl^1+^Hg^1+^Sb^3+^_4_S^2-^_7_,Tl^1+ Hg^1+ Sb^3+ S^2-,Tl^1+ Hg^1+ Sb^3+ S^2-,Tl Hg Sb S,Tl^1+ Hg^1+ Sb^3+ S^2-,valid,,,
Vauquelinite,Cu^2+^Pb^2+^_2_(Cr^6+^O_4_)(PO_4_)(OH),Cu^2+ Pb^2+ Cr^6+ O P H,Cu^2+ Pb^2+ Cr^6+ O P H,Cu Pb Cr O P H,Cu^2+ Pb^2+ Cr^6+ O P H,valid,,,
Vauxite,Fe^2+^Al_2_(PO_4_)_2_(OH)_2_·6H_2_O,Fe^2+ Al P O H,Fe^2+ Al P O H,Fe Al P O H,Fe^2+ Al P O H,valid,,,
Vavřínite,Ni_2_SbTe_2_,Ni Sb Te,Ni Sb Te,Ni Sb Te,Ni Sb Te,valid,,,
Väyrynenite,Mn^2+^Be(PO_4_)OH,Mn^2+ Be P O H,Mn^2+ Be P O H,Mn Be P O H,Mn^2+ Be P O H,valid,,,
Veatchite,Sr_2_B_11_O_16_(OH)_5_·H_2_O,Sr B O H,Sr B O H,Sr B O H,Sr B O H,valid,,,
Veblenite,K_2_[box]_2_Na(Fe^2+^_5_Fe^3+^_4_Mn^2+^_7_[box])Nb^5+^_3_Ti^4+^(Si_2_O_7_)_2_(Si_8_O_22_)_2_O_6_(OH)_10_·3H_2_O,K Na Fe^2+ Fe^3+ Mn^2+ Nb^5+ Ti^4+ Si O H,K Na Fe^2+ Fe^3+ Mn^2+ Nb^5+ Ti^4+ Si O H,K Na Fe Mn Nb Ti Si O H,K Na Fe^2+ Fe^3+ Mn^2+ Nb^5+ Ti^4+ Si O H,valid,,,
Veenite,"Pb^2+^_2_(Sb^3+^,As^3+^)_2_S^2-^_5_",Pb^2+ Sb^3+ As^3+ S^2-,Pb^2+ Sb^3+ As^3+ S^2-,Pb Sb As S,Pb^2+ Sb^3+ As^3+ S^2-,valid,,,
Vegrandisite,BaCl_2_,Ba Cl,Ba Cl,Ba Cl,Ba Cl,valid,,,
Velikite,Cu^1+^_2_Hg^2+^Sn^4+^S^2-^_4_,Cu^1+ Hg^2+ Sn^4+ S^2-,Cu^1+ Hg^2+ Sn^4+ S^2-,Cu Hg Sn S,Cu^1+ Hg^2+ Sn^4+ S^2-,valid,,,
Vendidaite,Al_2_(S^6+^O_4_)(OH)_3_ Cl·6H_2_O,Al S^6+ O H Cl,Al S^6+ O H Cl,Al S O H Cl,Al S^6+ O H Cl,valid,,,
Verbeekite,PdSe_2_,Pd Se,Pd Se,Pd Se,Pd Se,valid,,,
Verbierite,BeCr^3+^_2_Ti^4+^O_6_,Be Cr^3+ Ti^4+ O,Be Cr^3+ Ti^4+ O,Be Cr Ti O,Be Cr^3+ Ti^4+ O,valid,,,
Vergasovaite,Cu^2+^_3_O(Mo^6+^O_4_)(S^6+^O_4_),Cu^2+ O Mo^6+ S^6+,Cu^2+ O Mo^6+ S^6+,Cu O Mo S,Cu^2+ O Mo^6+ S^6+,valid,,,
Vermiculite,"Mg_0.7_(Mg,Fe^3+^,Al)_6_(Si,Al)_8_O_20_(OH)_4_·8H_2_O",Mg Fe^3+ Al Si O H,Mg Fe^3+ Al Si O H,Mg Fe Al Si O H,Mg Fe^3+ Al Si O H,valid,,,
Vernadite,"(Mn^4+^,Fe^3+^,Ca,Na)(O,OH)_2_·nH_2_O",Mn^4+ Fe^3+ Ca Na O H,Mn^4+ Fe^3+ Ca Na O H,Mn Fe Ca Na O H,Mn^4+ Fe^3+ Ca Na O H,valid,,,
Verneite,Na_2_Ca_3_Al_2_F_14_,Na Ca Al F,Na Ca Al F,Na Ca Al F,Na Ca Al F,valid,,,
Verplanckite,"Ba_4_Mn^2+^_2_Si_4_O_12_(OH,H_2_O)_3_Cl_3_",Ba Mn^2+ Si O H Cl,Ba Mn^2+ Si O H Cl,Ba Mn Si O H Cl,Ba Mn^2+ Si O H Cl,valid,,,
Versiliaite,(Fe^2+^_2_Fe^3+^_2_)(Fe^3+^_2_Sb^3+^_6_)O_16_S^2-^,Fe^2+ Fe^3+ Sb^3+ O S^2-,Fe^2+ Fe^3+ Sb^3+ O S^2-,Fe Sb O S,Fe^2+ Fe^3+ Sb^3+ O S^2-,valid,,,
Vertumnite,Ca_4_Al_4_Si_4_O_6_(OH)_24_·3H_2_O,Ca Al Si O H,Ca Al Si O H,Ca Al Si O H,Ca Al Si O H,valid,,,
Veselovskýite,Zn^2+^Cu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·9H_2_O,Zn^2+ Cu^2+ As^5+ O H,Zn^2+ Cu^2+ As^5+ O H,Zn Cu As O H,Zn^2+ Cu^2+ As^5+ O H,valid,,,
Vésigniéite,Cu^2+^_3_Ba(V^5+^O_4_)_2_(OH)_2_,Cu^2+ Ba V^5+ O H,Cu^2+ Ba V^5+ O H,Cu Ba V O H,Cu^2+ Ba V^5+ O H,valid,,,
Vestaite,(Ti^4+^Fe^2+^)Ti^4+^_3_O_9_,Ti^4+ Fe^2+ O,Ti^4+ Fe^2+ O,Ti Fe O,Ti^4+ Fe^2+ O,valid,,,
Vesuvianite,"(Ca,Na)_19_(Al,Mg,Fe^3+^)_13_(SiO_4_)_10_(Si_2_O_7_)_4_(OH,F,O)_10_",Ca Na Al Mg Fe^3+ Si O H F,Ca Na Al Mg Fe^3+ Si O H F,Ca Na Al Mg Fe Si O H F,Ca Na Al Mg Fe^3+ Si O H F,valid,,,
Veszelyite,"(Cu^2+^,Zn^2+^)_2_Zn^2+^(PO_4_)(OH)_3_·2H_2_O",Cu^2+ Zn^2+ P O H,Cu^2+ Zn^2+ P O H,Cu Zn P O H,Cu^2+ Zn^2+ P O H,valid,,,
Viaeneite,"(Fe^2+^,Pb^2+^)_4_((S_2_)^2-^,S^6+^)_8_O",Fe^2+ Pb^2+ S S^6+ O,Fe^2+ Pb^2+ S S^6+ O,Fe Pb S O,Fe^2+ Pb^2+ S S^6+ O,valid,,,
Vicanite-(Ce),"(Ca,Ce^3+^,La^3+^,Th^4+^)_15_As^5+^(As^3+^,Na)_0.5_Fe^3+^_0.7_Si_6_B_4_(O,F)_47_",Ca Ce^3+ La^3+ Th^4+ As^5+ As^3+ Na Fe^3+ Si B O F,Ca Ce^3+ La^3+ Th^4+ As^5+ As^3+ Na Fe^3+ Si B O F,Ca Ce La Th As Na Fe Si B O F,Ca Ce^3+ La^3+ Th^4+ As^5+ As^3+ Na Fe^3+ Si B O F,valid,,,
Vielleaureite-(Ce),Mn^2+^Ce^3+^(MgAlMn^2+^)(Si_2_O_7_)(SiO_4_)F(OH),Mn^2+ Ce^3+ Mg Al Si O F H,Mn^2+ Ce^3+ Mg Al Si O F H,Mn Ce Mg Al Si O F H,Mn^2+ Ce^3+ Mg Al Si O F H,valid,,,
Vigezzite,CaNb^5+^_2_O_6_,Ca Nb^5+ O,Ca Nb^5+ O,Ca Nb O,Ca Nb^5+ O,valid,,,
Vigrishinite,Zn^2+^[box]Ti^4+^_2_Na[box]Ti^4+^_2_(Si_2_O_7_)_2_O_2_O(OH)(H_2_O)_4_,Zn^2+ Ti^4+ Na Si O H,Zn^2+ Ti^4+ Na Si O H,Zn Ti Na Si O H,Zn^2+ Ti^4+ Na Si O H,valid,,,
Vihorlatite,Bi_24_Se_17_Te_4_,Bi Se Te,Bi Se Te,Bi Se Te,Bi Se Te,valid,,,
Viitaniemiite,NaCaAlPO_4_F_3_,Na Ca Al P O F,Na Ca Al P O F,Na Ca Al P O F,Na Ca Al P O F,valid,,,
Vikingite,Ag^1+^_5_Pb^2+^_8_Bi^3+^_13_S^2-^_30_,Ag^1+ Pb^2+ Bi^3+ S^2-,Ag^1+ Pb^2+ Bi^3+ S^2-,Ag Pb Bi S,Ag^1+ Pb^2+ Bi^3+ S^2-,valid,,,
Villamanínite,Cu^2+^(S_2_)^2-^,Cu^2+ S,Cu^2+ S,Cu S,Cu^2+ S,valid,,,
Villiaumite,NaF,Na F,Na F,Na F,Na F,valid,,,
Villyaellenite,"(Mn^2+^,Ca)Mn^2+^_2_Ca_2_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O",Mn^2+ Ca As^5+ O H,Mn^2+ Ca As^5+ O H,Mn Ca As O H,Mn^2+ Ca As^5+ O H,valid,,,
Vimsite,CaB_2_O_2_(OH)_4_,Ca B O H,Ca B O H,Ca B O H,Ca B O H,valid,,,
Vincentite,Pd_3_As,Pd As,Pd As,Pd As,Pd As,valid,,,
Vinciennite,Cu_10_Fe_4_SnAsS_16_,Cu Fe Sn As S,Cu Fe Sn As S,Cu Fe Sn As S,Cu Fe Sn As S,valid,,,
Vinogradovite,"Na_4_Ti^4+^_4_(Si_2_O_6_)_2_[(Si,Al)_4_O_10_]O_4_·(H_2_O,Na,K)_3_",Na Ti^4+ Si O Al H K,Na Ti^4+ Si O Al H K,Na Ti Si O Al H K,Na Ti^4+ Si O Al H K,valid,,,
