source_index,target_index,neighbor_rank,distance
1875,1856,2,0.9687774610618438
1875,2114,3,0.9826844445277538
1875,1876,4,1.0357318632226762
1875,2500,5,1.117379498823484
1875,1857,6,1.1246113855328272
1875,3892,7,1.1989787467469344
1875,2585,8,1.1989787467469344
1875,1858,9,1.208324901206929
1875,6152,10,1.2490232145093325
1876,4147,1,0.8327397704207707
1876,1856,2,0.8928819043215457
1876,1858,3,1.0025514316709931
1876,1857,4,1.0065590870002543
1876,1875,5,1.0357318632226762
1876,2519,6,1.153334463507306
1876,2495,7,1.1569262851395894
1876,2501,8,1.1753721443259042
1876,2517,9,1.2003846891332528
1876,4153,10,1.2294766641887827
1877,4523,1,0.3569460159290784
1877,4515,2,0.360335429726091
1877,1883,3,0.36824951758176006
1877,3336,4,0.46950698077694875
1877,1880,5,0.4802506734309245
1877,5337,6,0.5411964670434134
1877,3331,7,0.6220207914306266
1877,1700,8,0.6230284134388853
1877,4137,9,0.6283366684097519
1877,2729,10,0.6377945106482737
1878,3097,1,0.9025694598824343
1878,3501,2,1.228055920389177
1878,2331,3,1.2757365445679238
1878,580,4,1.306949005897049
1878,1212,5,1.3482318871553982
1878,978,6,1.4814748518724452
1878,5575,7,2.005539969462641
1878,1975,8,2.0824037837184814
1878,4576,9,2.1128612709649537
1878,1158,10,2.124147453832473
1879,3336,1,0.44479387846779805
1879,3331,2,0.4614019008691609
1879,4524,3,0.47120770227416836
1879,1694,4,0.4719346687683446
1879,1886,5,0.47564425201666166
1879,1883,6,0.5484622150468087
1879,4523,7,0.5617084509788595
1879,4515,8,0.5639968191772311
1879,370,9,0.6505840546069852
1879,1890,10,0.6509364233518496
1880,3331,1,0.47825753414792965
1880,1877,2,0.4802506734309245
1880,3336,3,0.5096296541752932
1880,4523,4,0.5290689106273384
1880,4515,5,0.5328109844888327
1880,1883,6,0.5382465232601421
1880,1879,7,0.6671395862124885
1880,370,8,0.7596379312365747
1880,1694,9,0.778383652817481
1880,1885,10,0.8040543896616664
1881,1884,1,0.1171917854593428
1881,1882,2,0.533502955410202
1881,1695,3,0.6127465637984513
1881,1749,4,0.6363976690782284
1881,4949,5,0.8213005281604452
1881,1888,6,0.8364860406675643
1881,1708,7,0.8393683636107164
1881,1740,8,0.8516319320092789
1881,3413,9,0.8648260417343026
